scr_selcode,sub_name,scr_mso,scr_credit,scr_periodly,scr_teacher,description,targets,textBooks,readings,Softwares,assistSoftwares,weeklyScds,gradeRules,integrity
2903,社會影響力實作,必修,1.0,(四)06,汪浩,本課程專為社會影響力專題所製作。透過與社會使命型企業或NPO組織合作，以計畫為基礎，在實作中落實田野方法學，平行地帶領學生完成一份SRS社會影響力報告，讓服務對象的真實社會價值被看見，也訓練學生成為具備報告專業的人才。,,,,,,,,
2904,企業責任與全球永續,選修,3.0,(四)08-10,"汪浩,劉世慶",本課程旨在探索企業在全球永續發展中的關鍵角色。隨著氣候變遷的加劇，企業面臨實現淨零排放和社會共享目標的挑戰。透過深入分析各種企業個案，以及互動教學形式，本課程將激發學生認識到企業責任對全球永續發展的關鍵影響，並提供實用策略以應對當前和未來的挑戰。,,"Introduction to Global Sustainable Management (Colin Combe, 1e, Sage, 2022), ISBN:  978152977174
","Reference books and materials will be provided in class according to different topics.
",,,Reading: 背景(一)：全球失衡與歷史終結 - 法國銀行與非洲殖民主義、不公平貿易與哈根達斯冰淇淋 | Assignment: 分組討論 || Reading: 背景(二)：生態毀滅與文明懸崖 - 舒潔衛生紙與魔戒森林裡的精靈、酒後不開車的約翰走路 | Assignment: 分組討論 || Reading: 背景(三)：科技意外與社會疏離 - 綠色和平與冰箱產業的恩怨、家樂福裡的雞與蛋 | Assignment: 分組討論 || Reading: 制度的挑戰與創新 - 丹麥沼氣發電讓便便變黃金、飛利浦燈泡商業模式的救贖 | Assignment: 分組討論 || Reading: 天使與魔鬼的議和 - 福斯汽車的兩難選擇、挪威的國家石油公司與政策 | Assignment: 分組討論 || Reading: 企業社會責任的變化 | Assignment: 個案與講授 (富士康員工事件個案) || Reading: 企業永續發展的管理 | Assignment: 個案與講授 (瑪莎百貨兩難個案) || Reading: 企業社會影響力評估 | Assignment: 個案與講授 (華碩電腦的SROI個案) || Reading: 東西永續思維的比較 | Assignment: 個案與講授 (信義房屋的社區一家個案) || Assignment: 東西永續思維的比較,,"劉世慶老師部分，報告40%，上課出席30%，課堂小組討論30%
"
2905,社會創新與設計思考,選修,3.0,(三)02-04,翟本瑞,本課程希望透過社會創新及設計思考，培養學生具備主動學習與分析議題的習慣、透過創意思考與?同專業背景進行團隊合作、運用科技及商業模式解決複雜問題的能力，以面對未來真實社會的競爭。,本課程希望透過社會創新及設計思考，培養學生具備主動學習與分析議題的習慣、透過創意思考與不同專業背景進行團隊合作、運用科技及商業模式解決複雜問題的能力，以面對未來真實社會的競爭。,,,,,,,
2906,產業碳足跡盤查與減碳實務,選修,4.0,(一)06-09,"賴奇厚,呂晃志,施孟芬","自從聯合國在2015 年，率領世界領袖在「聯合國發展高峰會」發佈了《翻轉我們的世界：2030 年永續發展方針》並提出 17 項永續發展目標(Sustainable Development Goals, SDGs)之後，這份提及所有國家都面臨的問題之宣言已經成為世界各地、各行各業所依循的重大指標。學生應熟悉SDG的內容與精神，並在學習的過程中思索自行所學、專長能夠貢獻之處。此課程將帶領學生以現代科技、尊重環境永續發展的方式，與不同背景的同學相互合作、檢視並嘗試解決社會的問題，透過相互配合、協調、甚至相互競爭、制約，彼此激盪而取得成果。","1. 協助學生了解淨碳足跡盤查方法。
2. 協助學生應用國際標準分析產業碳足跡排放與熱點。
","碳盤查成功關鍵祕笈：組織型溫室氣體盤查實務


作者： 楊聰榮, 魏梅金
出版社：新陸書局
出版日期：2023/06/10
ISBN：9786269712786


","智邦科技溫室氣體 ISO 14064-1 平台
","[{'soft_name': 'Microsoft Office', 'soft_memo': 'Word, Excel'}, {'soft_name': 'SigmaPro', 'soft_memo': '碳足跡計算'}, {'soft_name': 'OpenLCA', 'soft_memo': '碳足跡計算'}]",,Reading: 從自限之境到永續之路：MDG至SDG；京都議定書到巴黎協定 || Reading: 工業革命後的資本主義轉型：血汗工廠至幸福企業-ESG與CSR || Reading: 365日日新：組織行為與企業永續管理 || Reading: 凡走過必留下痕跡：溫室氣體盤查與碳足跡 || Reading: 起跑前的預備I：組織碳盤查 || Reading: 凡走過必留下痕跡II：產品碳足跡 || Reading: 承諾的條件：科學基礎減量目標與碳管理、碳中和宣告 || Reading: 產業實例探討-紡織業I || Reading: 產業實例探討-紡織業II || Reading: 產業實例探討-金屬表面處理業I || Reading: 產業實例探討-金屬表面處理業II || Reading: 產業實例探討-食品零售業I || Reading: 產業實例探討-食品零售業II || Reading: 產業實例探討-農業I || Reading: 產業實例探討-農業II || Reading: 期末報告討論I || Reading: 期末報告討論II || Reading: 期末分組報告,"score_rate: 40
evalb_memo: 與產業直接對接，赴廠進行個案碳盤查
evalb_name: 期末專題

score_rate: 30
evalb_memo: (1) PBL模式進行課程互動 (2) 校外現地盤查
evalb_name: 實務演練(課堂)

score_rate: 30
evalb_memo: 遵循出席規定，定期課堂點名
evalb_name: 出席狀況

","出席( 30%) : 遵循出席規定，定期課堂點名。 期末報告( 40%) : 與產業直接對接，赴廠進行個案碳盤查 其他 (30%)請說明: (1) PBL模式進行課程互動 (2) 校外現地盤查
"
2907,綠色會計,選修,2.0,(三)08-09,吳周燕,投資人對永續環境議題的重視，使得企業社會責任報告書的重要性將逐漸與財務報表並駕齊驅。企業不能像過去一樣單純以利潤最大化為目標，須進一步考慮對環境及社會之外部成本與效益。綠色會計除了從傳統會計角度出發，亦會涉及其他跨領域知識。本課程介紹綠色會計、企業社會責任、碳足跡、碳稅等相關議題，幫助學生了解如何將環境及社會等外部成本內部化，以因應企業的需要。,"1. 了解企業社會責任之相關知識；分析及應用綠色會計之觀念
2. 從環境與會計角度分析問題
","1. 自編講義
2. 梁馨予、吳周燕、賴鐘惠，《循環經濟與企業永續》，2025年4月，初版，華泰文化。
 
","
1. 行政院環保署 (2008)，產業環境會計指引。
2. 經濟部工業局 (2015)，產業導入物質流成本會計(MFCA)指導手冊。

",,,Reading: 相見歡 & 課程引導 綠色會計發展與全球永續發展概況 | Assignment: 指定教科書：Ch2 || Reading: 循環經濟及其商業模式 | Assignment: 指定教科書：Ch1、Ch3 || Reading: 循環經濟及其商業模式 循環經濟商業模式實作 | Assignment: 指定教科書：Ch3、Ch4 各組須選定一家實際存在的企業，作為課堂練習使用，學習如何將循環經濟商業模式導入企業 商業模式實作由各組成員經由互動方式討論 || Reading: 循環經濟商業模式實作 | Assignment: 指定教科書：Ch3、Ch4 各組須選定一家實際存在的企業，作為課堂練習使用，學習如何將循環經濟商業模式導入企業 商業模式實作由各組成員經由互動方式討論 || Reading: 循環經濟商業模式實作 | Learning: 課程內容教授結束後，課堂上將提供案例練習，建議攜帶筆電或平板，較易進行計算 | Assignment: 指定教科書：Ch3、Ch4 各組須選定一家實際存在的企業，作為課堂練習使用，學習如何將循環經濟商業模式導入企業 商業模式實作由各組成員經由互動方式討論 || Reading: 綠色會計的衡量方法與會計分類：環境成本 | Assignment: 行政院環保署 (2008)，產業環境會計指引。 || Reading: 綠色會計的衡量方法與會計分類：環境成本 | Assignment: 行政院環保署 (2008)，產業環境會計指引。 || Reading: 綠色會計的衡量方法與會計分類：環境效益 | Assignment: 行政院環保署 (2008)，產業環境會計指引。 || Reading: 綠色會計的衡量方法與會計分類：課堂案例練習 | Assignment: 各組須自備至少一臺筆電、計算機，課堂上經由課堂發放的個案了解綠色會計分類及計算，教師會經由個案引導學生填寫 本次課堂練習將作為各組繳交的作業 || Reading: 期中口頭報告：Proposal Presentation || Reading: 綠色會計的衡量方法與會計分類：課堂案例練習 | Learning: 課堂上將提供案例練習，請攜帶筆電或平板，需使用Excel 計算 | Assignment: 各組須自備至少一臺筆電、計算機，課堂上經由課堂發放的個案了解綠色會計分類及計算，教師會經由個案引導學生填寫 本次課堂練習將作為各組繳交的作業 || Reading: 物質流成本會計：理論篇 | Assignment: 自編講義 || Reading: 物質流成本會計：實戰篇 | Assignment: 自編講義 各組須自備至少一臺筆電、計算機，課堂上經由課堂發放的個案了解物質流成本會計計算方式，以及報表填寫過程，教師會經由個案引導學生填寫 本次課堂練習將作為各組繳交的作業 || Reading: 物質流成本會計：實戰篇 | Assignment: 自編講義 各組須自備至少一臺筆電、計算機，課堂上經由課堂發放的個案了解物質流成本會計計算方式，以及報表填寫過程，教師會經由個案引導學生填寫 本次課堂練習將作為各組繳交的作業 || Reading: 全球氣候行動 || Reading: 期末報告：Final Report Presentation || Reading: 期末報告：Final Report Presentation || Reading: 統籌科目期末考,,"期中報告　30%（含書面報告、口頭報告、簡報呈現）
期末報告　30%（含書面報告、口頭報告、簡報呈現等）
平時　　    40%（含課堂討論、作業、出席、課程參與等）
 
學期報告為＂一個＂循環經濟商業模式的創意提案，包含期中報告與期末報告，期末報告來自期中報告的延伸發想。
鼓勵學生參與永續黑客松競賽。
"
4659,氣候韌性,選修,1.0,(五)06-07,吳志超,氣候韌性係指社會生態系統(包括群體或個人)面對氣候災害的接受及復原能力，其影響因素包括社會經濟條件、政府的治理能力、個人家庭互動情形等。韌性高低將影響其調適、學習與轉變的能力。本課程將透過大師講座，了解如何透過氣候減緩(mitigation)與氣候調適(adaptation)來解決「氣候變遷」問題。前者是指藉由行動以「減緩」(mitigation)氣候變遷發生的速度與規模；後者則藉由政策或方案，儘可能地提高組織的氣候「韌性」(resilience)以「調適」(adaptation)氣候變遷之衝擊。,,,,,,,,
4660,氣候調適,選修,2.0,(二)03-04,鍾侑達,"在當代全球氣候變遷日益劇烈的背景下，極端氣候事件、海平面上升、旱澇災害與生態衝擊已成為人類社會與自然系統所共同面臨的重大挑戰。本課程旨在培養學生具備理解氣候變遷趨勢、辦識氣候風險，以及因應與調適的跨領域整合能力。
課程將從氣候變遷的科學基礎出發，探討氣候變遷的成因與影響，進而介紹全球與地方層級的減緩(mitigation)與調適(adaptation)策略。學生將學習如何分析氣候風險與脆弱度評估方法，並理解在面對災害時，不同領域(如水資源、都市規劃、農業、公共衛生等)所採取的防災與調適行為。",,,,,,,,
4661,永續融資 - 找錢大作戰,選修,2.0,(四)10-11,劉峰旗,永續融資目的在於運用網路對大眾的可及性，尋求對新創企業的融資。 「永續融資-找錢大作戰」之課程，是以群眾募資理論、搭配實務個案，以及資訊蒐集分析的結合，以培養學生未來創業能力。課程規劃將分析成功的募資案例，並說明群眾募資的風險，以增進學生未來籌資成功的可能性。,,,,,,,,
4662,未來偵探學,選修,2.0,(六)02-04 (六)06-08,侯勝宗,敏銳的觀察、審視、收集、分析、並做出決策判斷為出色偵探的必要條件，受訓者經由質與量的方法訓練後，將能具備基本的偵查能力，敏於發現問題並嘗試採取適切的解決方式，並在實地場域操練下出師。本課程目的在介紹辯證式邏輯與田野調查法，訓練學員如何進行獨立思考，學習「問對問題」與「情境解析」。本課程特別強調讓學生在實務中練習問題分析能力，並學會問題表達、脈絡分析，以培養解決問題能力。將藉由弱勢族群和偏鄉地區之移動(Mobility)分析和重新認知，嘗試透過共享經濟(Sharing economics)以及資源可移轉性（transferability）的視角，探討如何透過資源整合與政府資源導入，創造得以永續經營的基本民行之ESG解方。,,"
授課老師網誌：https://reurl.cc/Rbxp3e
課程臉書 https://reurl.cc/yZggGl
天下獨立評論《入世學術》專欄，https://opinion.cw.com.tw/blog/profile/394  
社會創新 X 社會企業 臉書  https://reurl.cc/vD114A

","
Brown, T., & Wyatt, J. 2010. Design Thinking for Social Innovation. Stanford Social Innovation Review. 8: 31-35.
Christensen, C. (2010). ""How Will You Measure Your Life?"" Harvard Business Review 88(7, 8): 46-51.
Tim Brown，跟愛迪生學創新，哈佛商業評論，2008年06月號，1-11。
William Damon (威廉．戴蒙)，2013，邁向目的之路：幫助孩子發現內心的召喚，踏上自己的英雄旅程(The Path to Purpose - Helping Our Children Find Their Calling in Life)，天下雜誌出版。
克雷頓‧克里斯汀生, 傑夫‧戴爾, 海爾‧葛瑞格森，2017，創新者的DNA：5個技巧，簡單學創新，天下雜誌，台北。
李郁怡，台灣社會企業三大趨勢，哈佛商業評論，2013年8月，第084期，136-143。
服務創新—從製造心態到設計思考，EMBA世界經理文摘，316期，77-109。
侯勝宗，2017，台灣計程車學院協會，溫世仁基金會未出版個案，台北。
侯勝宗，2021，傳統產業如何進行平台轉型？哈佛商業評論全球繁體中文版，HBR導師講座。
侯勝宗，創新的用途，創新與創造力中心未發表個案，政治大學，台北。
麥可．波特 & 馬克．克瑞默，波特：創造共享價值，哈佛商業評論，2011年01月號，第053期，1-17。
優樂地永續，2021，翻轉小黃運將 引領運輸服務業創新轉型，侯勝宗為偏遠醫療、長照交通助力，天下雜誌。

賽門．西奈克，2018，先問，為什麼？：顛覆慣性思考的黃金圈理論，啟動你的感召領導力，天下雜誌
",,,"Reading: 一、主題：目的與手段 (建構問題意識) 二、上課日期：10月4日，9:00 - 18:00 三、課程內容： 課程介紹、自我介紹、學習社群 Why are we here? Why should we care? How much do we know? | Assignment: 閱讀教材： 1、William Damon (威廉．戴蒙)，2013，邁向目的之路：幫助孩子發現內心的召喚，踏上自己的英雄旅程 (The Path to Purpose - Helping Our Children Find Their Calling in Life)，天下雜誌出版。(第四章、第六章) 2、侯勝宗，走過漂浮的青春，打造夢想的火箭 3、侯勝宗，以專業、事業與志業轉動社會影響力 4、侯勝宗，共享經濟與城市治理。 補充教材： 1、賽門．西奈克，2018，《先問，為什麼？：顛覆慣性思考的黃金圈理論，啟動你的感召領導力》(Start with Why)，天下雜誌出版。 討論影片： 先問為什麼？https://reurl.cc/5lqqOq || Reading: 一、主題：從用途看世界(理論與思維) 二、上課日期：10月18日，9:00 - 18:00 三、課程內容： 什麼是用途理論？ 科技創新為何對社會創新有重要的影響？ | Assignment: 閱讀教材： 1. 侯勝宗，社會企業為何會興起？ 2. 侯勝宗，創新的用途 3. 侯勝宗，一切都是「資訊不對稱」惹的禍 討論影片： 1. 社會創新是什麼？(https://reurl.cc/0oxG1Y) 2. 社會創業家 (https://www.youtube.com/watch?v=jk5LI_WcosQ) 3. Bill Gates退而不休 https://reurl.cc/mn99xM 4. 侯勝宗，2017，臺灣計程車學院：翻轉工作、共善社會，溫世仁基金會。 5. 侯勝宗，2018，小黃為何持續上街抗爭：Uber是優步，還是偷吃步？獨立評論。 6. 侯勝宗，2021，傳統產業如何進行平台轉型，哈佛商業評論。 7. 數位轉型的翻轉創新，李瓊淑 副董事長 簡報資料。 參考影片： 1. 蓋玆之道〈疑難解法〉 https://reurl.cc/Qd33V5 2. 下一場疫情爆發怎麼辦？https://reurl.cc/d0xgL2 || Reading: 一、主題：街頭調查實作 二、上課日期：10月25日，9:00 - 12:00 三、課程內容： 1、教師出一份街頭採訪作業，由小組於上課時間進行田野調查與採訪 2、全程錄音與照相，進行逐字稿本文分析 | Assignment: 本次課程將進行「街頭調查實作」，由老師提供訪談主題與提問方向，小組同學需於課堂時間外出進行街頭訪談與拍攝記錄，蒐集真實聲音與觀察資料。訪談需全程錄音與拍照，並於後續課堂中進行逐字稿撰寫與文本分析。透過田野實作訓練觀察力、提問技巧與資料詮釋能力。 || Reading: 一、主題：人物誌實作 二、上課日期：11月1日，9:00 - 12:00 三、課程內容： 1、由學生邀訪一位代表性人物，由小組於上課時間進行人物專訪與深度對話 2、全程錄音與照相，進行逐字稿本文分析 | Assignment: 本次課程將進行「人物誌實作」，請各組事先邀請一位具代表性的人物，於上課時間進行現場專訪與深度對話。過程需全程錄音與拍照，並在後續課堂中撰寫逐字稿，進行文本分析與人物描寫練習。藉由真實對談，培養學生訪談技巧、理解力與敘事能力。 || Reading: 一、主題：神探夏洛克 (工具與方法) 二、上課日期：11月15日，9:00 - 18:00 三、課程內容： 什麼是設計？ 什麼是思考？ 什麼是設計思考？ 如何用手思考？ 設計思考動手作 思辨練習(1)：社會偵探學 思辨練習(2): 頂尖大學 思辨練習(3)：大學之道 思辨練習(4):清華有人文嗎？ | Assignment: 閱讀教材： 1. Brown, T., & Wyatt, J. 2010. Design Thinking for Social Innovation. Stanford Social Innovation Review. 8: 31-35. 2. Tim Brown，跟愛迪生學創新，哈佛商業評論，2008年06月號，1-11。 3. 服務創新—從製造心態到設計思考，EMBA世界經理文摘，316期，77-109。 4. 侯勝宗，多走一哩路：從人文關懷到科技實踐 5. 侯勝宗，forthcoming，如何打通偏鄉交通微血管，實現行的正義？臺灣民主季刊。 6. Christensen, C. (2010). ""How Will You Measure Your Life?"" Harvard Business Review 88(7, 8): 46-51. 討論影片： 1. Tim Brown, A Call for ""Design Thinking"", Ted Talks, September 2009. 2. 《設計與思考》紀錄片：Design & Thinking. || Reading: 一、主題：誰是殺人兇手？：田野實作與成果報告 (實作與成果) 二、上課日期：11月22日，9:00 - 18:00 三、課程內容： 田野調查 (2小時) 質性訪談 (2小時) 尋人啟事 (2小時) 成果報告 (2小時) 課程反思 (1小時) | Assignment: 閱讀教材： 1. 《金字塔原理》 2. 《不用數字的研究》","score_rate: 30
evalb_memo: 出席與參與討論情況
evalb_name: 出席狀況

score_rate: 30
evalb_memo: 分組討論、觀察、小組互動
evalb_name: 課堂討論參與

score_rate: 20
evalb_memo: 個人與團體作業
evalb_name: 作業

score_rate: 20
evalb_memo: 期末團隊成果報告
evalb_name: 期末考

",
854,人工智慧導論,選修,2.0,(五)06-07,卓侑學,本課程從歷史、未來發展趨勢、產業的應用瓶頸與需求、應用倫理與治理等面向，引導學生進行認識、思考、分析與評論AI技術的發展應用。在教學策略中，除講座外，將通過小組討論和課堂互動交流形式，培養學生的AI素養。,"理解人工智慧的發展歷史
認識人工智慧各應用面向的技術發展
認識各產業對於人工智慧技術的需求以及導入時可能面臨的瓶頸
分析與討論其他新的科技發展對於人工智慧技術應用的影響
認識人工智慧技術於應用上須注意的道德倫理，與治理原則","教師準備投影片，以及提供相關資源
","
機器學習的統計基礎：深度學習背後的核心技術
機器學習的數學基礎 : AI、深度學習打底必讀

","[{'soft_name': 'Google colab', 'soft_memo': '會帶大家實作，使用平台為 google colab'}, {'soft_name': 'chatGPT', 'soft_memo': '了解如何實用GPT來幫助你完成事情'}, {'soft_name': 'Teachable Machine', 'soft_memo': '簡易的模型訓練工具'}, {'soft_name': 'Leonardo AI / Runway', 'soft_memo': 'AI繪圖工具'}]",,Reading: AI Overview 介紹課程規則 | Learning: 理解人工智慧的是什麼與發展 目前AI於產業的應用 | Assignment: 熟悉AI發展史 || Reading: AI工具簡介 - chatGPT | Learning: 介紹chatGPT是什麼以及應用 實際操作與倫理道德 | Assignment: 學習單：chatGPT實作與作業 || Reading: 機器學習 - Machine Learning(導論) | Learning: 了解機器學習的定義 學習如何開始定義一個AI問題 | Assignment: 學習單：機器學習作業 || Reading: 機器學習 - Machine Learning(演算法與實作) | Learning: 了解機器學習的定義 介紹常用之機器學習演算法 | Assignment: 學習單：機器學習作業 || Reading: 深度學習 - Deep Learning(什麼是神經網路) | Learning: 了解深度學習的定義 學習神經網路是如何運作 | Assignment: 學習單：深度學習實作與作業 || Reading: 深度學習 - Deep Learning(如何學習圖像) | Learning: 了解常用的深度學習模型 AI於圖像的應用範圍以及如何學習 | Assignment: 學習單：深度學習實作與作業 || Reading: 電腦視覺導論 | Learning: 介紹電腦視覺 了解有哪些應用是電腦視覺 | Assignment: 學習單：電腦視覺實作與作業 || Reading: 期中考週 || Reading: AI 畫家 - 當電腦變成畫家 | Learning: AI繪圖工具教學 了解如何使用工具產生圖片 | Assignment: 學習單：AI畫家實作與作業 || Reading: 智慧財產權與資訊道德倫理 | Learning: 了解目前的有的AI相關智財議題 培養學生正確使用工具的道德倫理 || Reading: 遞迴神經網路與自然語言處理 - RNN與NLP | Learning: 了解遞迴神經網路與應用 了解自然語言的應用與未來發展 | Assignment: 學習單：RNN與NLP作業 || Reading: 生成式AI - 強化學習應用範例 | Learning: 了解強化學習是什麼 強化學習目前有哪些應用於市場 | Assignment: 學習單：生成式AI - 強化學習應用作業 || Reading: 影像生成 - OpenAI的最新武器Sora | Learning: OpenAI Sora簡介 介紹目前有的影像生成工具與程式 | Assignment: 學習單：影像生成作業 || Reading: AI應用 - 淺談自駕車 | Learning: 自駕車原理簡介 了解目前有哪些AI技術應用於自駕車上 | Assignment: 學習單：自駕車作業 || Reading: AI應用 - 智慧製造 | Learning: 理解智慧製造的定義 了解目前有哪些技術於智慧製造上實踐 | Assignment: 學習單：智慧製造作業 || Reading: AI應用 - 元宇宙 part1 | Learning: 元宇宙的定義與簡介 了解目前元宇宙已導入的場域 | Assignment: 學習單：元宇宙 part1 || Reading: AI應用 - 元宇宙 part2 | Learning: 元宇宙的定義與簡介 了解AI技術於元宇宙的結合應用 | Assignment: 學習單：元宇宙 part1 || Reading: 期末考周,"score_rate: 30
evalb_memo: 期中考試
evalb_name: 期中考

score_rate: 30
evalb_memo: 期末考試
evalb_name: 期末考

score_rate: 30
evalb_memo: 平時作業
evalb_name: 作業

score_rate: 10
evalb_memo: 平時點名
evalb_name: 點名

","期中考: 30%
期末考: 30%
平時作業成績：30 %
平時點名：10 %
"
